City_ID,City,Country,Max Temp(C),Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,22.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Bilma,NE,23.92,clear sky,18.6853,12.9164,Expeditions Ténére voyages
7,Bandarbeyla,SO,26.41,broken clouds,9.4942,50.8122,JABIR HOTEL
11,Middelburg,ZA,29.49,overcast clouds,-25.7751,29.4648,Oregon Place Guest House
12,Rikitea,PF,26.1,clear sky,-23.1203,-134.9692,People ThankYou
15,Puerto Ayora,EC,23.08,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Geraldton,AU,27.23,clear sky,-28.7667,114.6,Broadwater Mariner Resort
20,Marawi,PH,22.03,light rain,7.9986,124.2928,Derogongan Residence
21,Adiake,CI,29.77,light rain,5.2863,-3.304,Complexe Le Crystal
26,Hermanus,ZA,28.83,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Kavieng,PG,27.71,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
31,Port Alfred,ZA,26.41,overcast clouds,-33.5906,26.891,The Halyards Hotel
34,Avarua,CK,24.03,scattered clouds,-21.2078,-159.775,Paradise Inn
36,Vao,NC,26.85,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
37,Barra,BR,22.18,overcast clouds,-11.0894,-43.1417,Motel Albatroz
40,Comodoro Rivadavia,AR,21.05,clear sky,-45.8667,-67.5,Austral Hotel
42,Kerema,PG,26.92,few clouds,-7.9631,145.7785,Frena Lodge
43,Cape Town,ZA,26.73,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
48,Hilo,US,20.85,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,New Norfolk,AU,22.72,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
50,Huarmey,PE,21.66,overcast clouds,-10.0681,-78.1522,Hotel Miramar
55,Salalah,OM,26.19,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
58,Atuona,PF,25.43,few clouds,-9.8,-139.0333,Villa Enata
61,Hithadhoo,MV,27.75,scattered clouds,-0.6,73.0833,Scoop Guest House
70,Sibu,MY,26.11,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
79,Maumere,ID,26.72,overcast clouds,-8.6199,122.2111,Sylvia Hotel
80,Vaini,TO,27.37,overcast clouds,-21.2,-175.2,Keleti Beach Resort
81,Carnarvon,AU,27.04,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
82,Governador Valadares,BR,21.41,overcast clouds,-18.8511,-41.9494,Hotel Panorama
83,Port Elizabeth,ZA,25.85,overcast clouds,-33.918,25.5701,39 On Nile Guest House
84,Hobart,AU,22.92,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
85,Kavaratti,IN,27.51,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
92,Quelimane,MZ,28.21,moderate rain,-17.8786,36.8883,Hotel Flamingo
94,Papara,BR,27.05,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
95,Butaritari,KI,27.98,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
96,East London,ZA,26.42,overcast clouds,-33.0153,27.9116,Tu Casa
97,Atambua,ID,24.62,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
98,Marang,MY,26.64,overcast clouds,5.2056,103.2059,DBarakah Homestay
