City_ID,City,Country,Lat,Lng,Max Temp(C),Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Palmer,US,42.1584,-72.3287,-0.77,72,100,1.54,overcast clouds,2022-02-13 09:59:33
1,Rio Grande,BR,-32.035,-52.0986,17.75,93,99,6.07,overcast clouds,2022-02-13 09:59:35
2,Kapaa,US,22.0752,-159.319,22.18,78,75,5.66,broken clouds,2022-02-13 09:59:36
3,Bilma,NE,18.6853,12.9164,23.92,10,0,4.8,clear sky,2022-02-13 09:59:37
4,Waipawa,NZ,-41.4122,175.5153,12.35,86,100,4.62,overcast clouds,2022-02-13 09:59:39
5,Ushuaia,AR,-54.8,-68.3,8.81,61,75,4.63,broken clouds,2022-02-13 09:57:13
6,Mayahi,NE,13.9553,7.6712,26.41,9,0,6.72,clear sky,2022-02-13 09:59:41
7,Bandarbeyla,SO,9.4942,50.8122,26.41,62,66,7.45,broken clouds,2022-02-13 09:59:44
8,Guerrero Negro,MX,27.9769,-114.0611,17.18,59,100,1.5,overcast clouds,2022-02-13 09:59:45
9,Beckley,US,37.7782,-81.1882,-0.98,95,100,2.57,light snow,2022-02-13 09:55:24
10,Nerchinskiy Zavod,RU,51.3088,119.61,-27.66,100,66,0.94,broken clouds,2022-02-13 09:59:48
11,Middelburg,ZA,-25.7751,29.4648,29.49,17,94,1.72,overcast clouds,2022-02-13 09:59:49
12,Rikitea,PF,-23.1203,-134.9692,26.1,68,1,6.65,clear sky,2022-02-13 09:59:51
13,Busselton,AU,-33.65,115.3333,31.16,50,1,8.76,clear sky,2022-02-13 09:59:52
14,Saint-Augustin,CA,51.226,-58.6502,-12.09,81,97,10.18,overcast clouds,2022-02-13 09:59:53
15,Puerto Ayora,EC,-0.7393,-90.3518,23.08,94,55,1.18,broken clouds,2022-02-13 09:59:55
16,Saint George,US,37.1041,-113.5841,10.75,26,0,1.34,clear sky,2022-02-13 09:56:45
17,Vila,PT,42.0304,-8.1588,5.74,94,100,3.37,light rain,2022-02-13 09:59:57
18,Mataura,NZ,-46.1927,168.8643,10.82,98,100,0.46,overcast clouds,2022-02-13 09:59:58
19,Geraldton,AU,-28.7667,114.6,27.23,61,0,8.23,clear sky,2022-02-13 10:00:00
20,Marawi,PH,7.9986,124.2928,22.03,92,98,1.64,light rain,2022-02-13 10:00:02
21,Adiake,CI,5.2863,-3.304,29.77,64,54,3.08,light rain,2022-02-13 10:00:06
22,Shanghai,CN,31.2222,121.4581,7.74,67,20,4.0,few clouds,2022-02-13 10:00:01
23,Katangli,RU,51.7102,143.2326,-13.4,94,90,4.59,overcast clouds,2022-02-13 10:00:13
24,Provideniya,RU,64.3833,-173.3,-24.47,92,12,1.46,few clouds,2022-02-13 10:00:14
25,Kyshtovka,RU,56.555,76.6271,-9.77,94,100,4.13,light snow,2022-02-13 10:00:16
