City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Trat,TH,2022-02-11 07:02:14,12.5,102.5,86.92,67,100,6.13
1,Clyde River,CA,2022-02-11 07:02:15,70.4692,-68.5914,-16.37,76,100,27.63
2,Hobart,AU,2022-02-11 07:02:15,-42.8794,147.3294,68.27,57,20,23.02
3,Arraial Do Cabo,BR,2022-02-11 07:02:16,-22.9661,-42.0278,72.07,89,100,3.87
4,Hermanus,ZA,2022-02-11 07:02:17,-34.4187,19.2345,71.91,62,0,0.34
5,Nazarovo,RU,2022-02-11 07:02:17,56.0064,90.3914,-2.2,89,14,2.71
6,Ushuaia,AR,2022-02-11 07:02:18,-54.8,-68.3,39.88,96,100,3.47
7,Kulhudhuffushi,MV,2022-02-11 07:02:18,6.6221,73.07,80.78,76,8,7.4
8,Guarda,PT,2022-02-11 07:02:18,40.5373,-7.2658,39.94,68,66,1.88
9,Joshimath,IN,2022-02-11 07:02:19,30.5667,79.5667,51.21,32,0,1.68
10,Masvingo,ZW,2022-02-11 07:02:19,-20.0637,30.8277,78.3,49,67,5.12
11,Port Blair,IN,2022-02-11 07:02:19,11.6667,92.75,86.04,66,40,11.5
12,Cape Town,ZA,2022-02-11 07:01:31,-33.9258,18.4232,73.09,61,0,5.01
13,Mataura,NZ,2022-02-11 07:02:20,-46.1927,168.8643,59.49,70,21,5.3
14,Port Alfred,ZA,2022-02-11 07:02:21,-33.5906,26.891,72.28,73,3,3.36
15,Jaumave,MX,2022-02-11 07:02:21,23.4167,-99.3833,55.96,96,100,1.25
16,Faanui,PF,2022-02-11 07:02:21,-16.4833,-151.75,81.66,73,11,12.88
17,Hithadhoo,MV,2022-02-11 07:02:22,-0.6,73.0833,81.3,69,100,5.21
18,Anadyr,RU,2022-02-11 07:02:22,64.75,177.4833,-37.86,98,51,5.57
19,Puerto Ayora,EC,2022-02-11 07:02:22,-0.7393,-90.3518,74.55,93,58,4.21
20,Ribeira Grande,PT,2022-02-11 07:02:23,38.5167,-28.7,59.86,68,97,7.7
21,Nikolskoye,RU,2022-02-11 07:02:23,59.7035,30.7861,32.4,93,66,8.08
22,Busselton,AU,2022-02-11 07:02:24,-33.65,115.3333,97.09,41,17,14.56
23,Ponta Do Sol,PT,2022-02-11 07:02:24,32.6667,-17.1,65.71,58,100,7.58
24,Tasiilaq,GL,2022-02-11 07:02:25,65.6145,-37.6368,15.96,61,100,5.68
25,Aljezur,PT,2022-02-11 07:02:25,37.3191,-8.8033,54.72,54,16,5.93
26,Ahipara,NZ,2022-02-11 07:02:25,-35.1667,173.1667,75.58,91,81,9.89
27,Hay River,CA,2022-02-11 07:02:26,60.8156,-115.7999,-2.4,98,100,9.66
28,Camana,PE,2022-02-11 07:02:26,-16.6228,-72.7111,69.06,82,100,7.0
29,Bluff,NZ,2022-02-11 07:02:27,-46.6,168.3333,59.81,79,81,12.01
30,Castro,BR,2022-02-11 07:02:27,-24.7911,-50.0119,58.77,93,93,7.07
31,Tautira,PF,2022-02-11 07:00:34,-17.7333,-149.15,82.42,73,100,13.04
32,Lerik,AZ,2022-02-11 07:02:27,38.7726,48.4128,31.89,99,100,4.54
33,San Pedro,PH,2022-02-11 07:02:28,14.35,121.0167,86.36,67,33,16.71
34,Kodiak,US,2022-02-11 07:02:18,57.79,-152.4072,35.11,87,100,20.71
35,Hualmay,PE,2022-02-11 07:02:28,-11.0964,-77.6139,69.53,83,93,5.03
36,Nome,US,2022-02-11 07:01:44,64.5011,-165.4064,-18.83,77,5,6.42
37,Lebu,CL,2022-02-11 07:02:29,-37.6167,-73.65,54.39,68,2,19.01
38,Norman Wells,CA,2022-02-11 07:02:29,65.282,-126.8329,-15.65,92,100,2.42
39,Butaritari,KI,2022-02-11 07:02:30,3.0707,172.7902,82.11,79,21,18.12
40,Bredasdorp,ZA,2022-02-11 07:02:30,-34.5322,20.0403,70.29,51,0,2.53
